Loci	Mean_rho	Median	L95	U95
    29.900	   0.00019	   0.00013	   0.00001	   0.00068
    30.300	   0.00019	   0.00013	   0.00001	   0.00068
    30.640	   0.00019	   0.00013	   0.00001	   0.00068
    30.780	   0.00019	   0.00013	   0.00001	   0.00068
    30.880	   0.00019	   0.00013	   0.00001	   0.00068
    30.920	   0.00019	   0.00013	   0.00001	   0.00068
    31.080	   0.00019	   0.00013	   0.00001	   0.00068
    31.560	   0.00019	   0.00013	   0.00001	   0.00068
    31.900	   0.00019	   0.00013	   0.00001	   0.00068
    32.480	   0.00019	   0.00013	   0.00001	   0.00068
    32.860	   0.00019	   0.00013	   0.00001	   0.00068
    32.920	   0.00019	   0.00013	   0.00001	   0.00068
    32.960	   0.00019	   0.00013	   0.00001	   0.00068
    33.100	   0.00019	   0.00013	   0.00001	   0.00068
    33.140	   0.00019	   0.00013	   0.00001	   0.00068
    33.180	   0.00019	   0.00013	   0.00001	   0.00068
    33.720	   0.00019	   0.00013	   0.00001	   0.00068
    34.220	   0.00019	   0.00013	   0.00001	   0.00068
    34.500	   0.00019	   0.00013	   0.00001	   0.00068
    34.520	   0.00019	   0.00013	   0.00001	   0.00068
    35.060	   0.00019	   0.00013	   0.00001	   0.00068
    35.360	   0.00019	   0.00013	   0.00001	   0.00068
    36.020	   0.00019	   0.00013	   0.00001	   0.00068
    36.040	   0.00019	   0.00013	   0.00001	   0.00068
    36.140	   0.00019	   0.00013	   0.00001	   0.00068
    36.760	   0.00019	   0.00013	   0.00001	   0.00068
    37.100	   0.00019	   0.00013	   0.00001	   0.00068
    37.240	   0.00019	   0.00013	   0.00001	   0.00068
    37.580	   0.00019	   0.00013	   0.00001	   0.00068
    38.400	   0.00019	   0.00013	   0.00001	   0.00068
    38.840	   0.00019	   0.00013	   0.00001	   0.00068
    38.860	   0.00019	   0.00013	   0.00001	   0.00068
    39.140	   0.00019	   0.00013	   0.00001	   0.00068
    39.200	   0.00019	   0.00013	   0.00001	   0.00068
    39.360	   0.00019	   0.00013	   0.00001	   0.00068
    39.800	   0.00019	   0.00013	   0.00001	   0.00068
    39.980	   0.00019	   0.00013	   0.00001	   0.00068
    40.020	   0.00019	   0.00013	   0.00001	   0.00068
    40.140	   0.00019	   0.00013	   0.00001	   0.00068
    40.220	   0.00019	   0.00013	   0.00001	   0.00068
    40.340	   0.00019	   0.00013	   0.00001	   0.00068
    40.360	   0.00019	   0.00013	   0.00001	   0.00068
    40.740	   0.00019	   0.00013	   0.00001	   0.00068
    40.940	   0.00019	   0.00013	   0.00001	   0.00068
    40.960	   0.00019	   0.00013	   0.00001	   0.00068
    41.240	   0.00019	   0.00013	   0.00001	   0.00068
    41.960	   0.00019	   0.00013	   0.00001	   0.00068
    42.340	   0.00019	   0.00013	   0.00001	   0.00068
    42.460	   0.00019	   0.00013	   0.00001	   0.00068
    42.480	   0.00019	   0.00013	   0.00001	   0.00068
    42.540	   0.00019	   0.00013	   0.00001	   0.00068
    42.900	   0.00019	   0.00013	   0.00001	   0.00068
    43.240	   0.00019	   0.00013	   0.00001	   0.00068
    43.480	   0.00019	   0.00013	   0.00001	   0.00068
    43.560	   0.00019	   0.00013	   0.00001	   0.00068
    43.600	   0.00019	   0.00013	   0.00001	   0.00068
    43.620	   0.00019	   0.00013	   0.00001	   0.00068
    44.080	   0.00019	   0.00013	   0.00001	   0.00068
    44.420	   0.00019	   0.00013	   0.00001	   0.00068
    44.680	   0.00019	   0.00013	   0.00001	   0.00068
    44.840	   0.00019	   0.00013	   0.00001	   0.00068
    45.000	   0.00019	   0.00013	   0.00001	   0.00068
    45.020	   0.00019	   0.00013	   0.00001	   0.00068
    45.080	   0.00019	   0.00013	   0.00001	   0.00068
    45.140	   0.00019	   0.00013	   0.00001	   0.00068
    45.340	   0.00019	   0.00013	   0.00001	   0.00068
    45.360	   0.00019	   0.00013	   0.00001	   0.00068
    45.400	   0.00019	   0.00013	   0.00001	   0.00068
    45.520	   0.00019	   0.00013	   0.00001	   0.00068
    45.940	   0.00019	   0.00013	   0.00001	   0.00068
    46.440	   0.00019	   0.00013	   0.00001	   0.00068
    46.520	   0.00019	   0.00013	   0.00001	   0.00069
    46.820	   0.00019	   0.00013	   0.00001	   0.00069
    46.920	   0.00019	   0.00013	   0.00001	   0.00069
    47.280	   0.00019	   0.00013	   0.00001	   0.00069
    47.420	   0.00019	   0.00013	   0.00001	   0.00069
    48.020	   0.00023	   0.00013	   0.00001	   0.00069
    48.280	   0.00116	   0.00013	   0.00001	   0.00075
    48.300	   0.00118	   0.00013	   0.00001	   0.00079
    48.540	  41.14524	  41.09269	  36.33430	  47.43895
    49.020	  41.14524	  41.09269	  36.33430	  47.43895
    49.080	  41.14524	  41.09269	  36.33430	  47.43895
    49.220	  41.14524	  41.09269	  36.33430	  47.43895
    49.280	  41.14524	  41.09269	  36.33430	  47.43895
    49.800	  41.14524	  41.09269	  36.33430	  47.43895
    50.140	  41.14524	  41.09269	  36.33430	  47.43895
    50.660	  41.14524	  41.09269	  36.33430	  47.43895
    50.760	   3.37969	   3.34570	   1.83787	   5.04241
    51.360	   0.00191	   0.00032	   0.00002	   0.00180
    52.080	   0.00191	   0.00032	   0.00002	   0.00180
    52.380	   0.00052	   0.00032	   0.00002	   0.00176
    52.840	   0.00046	   0.00032	   0.00002	   0.00176
    54.100	   0.00046	   0.00032	   0.00002	   0.00176
    54.320	   0.00046	   0.00032	   0.00002	   0.00176
    55.220	   0.00046	   0.00032	   0.00002	   0.00176
    55.240	   0.00046	   0.00032	   0.00002	   0.00176
    55.420	   0.00046	   0.00032	   0.00002	   0.00176
    55.660	   0.00046	   0.00032	   0.00002	   0.00176
    55.700	   0.00046	   0.00032	   0.00002	   0.00174
    55.720	   0.00046	   0.00032	   0.00002	   0.00174
    55.740	   0.00046	   0.00032	   0.00002	   0.00174
    56.420	   0.00046	   0.00032	   0.00002	   0.00174
    56.440	   0.00046	   0.00032	   0.00002	   0.00174
    56.480	   0.00046	   0.00032	   0.00002	   0.00174
    56.740	   0.00046	   0.00032	   0.00002	   0.00174
    56.780	   0.00046	   0.00032	   0.00002	   0.00174
    56.940	   0.00046	   0.00032	   0.00002	   0.00174
    57.060	   0.00046	   0.00032	   0.00002	   0.00174
    57.140	   0.00046	   0.00032	   0.00002	   0.00174
    57.520	   0.00046	   0.00032	   0.00002	   0.00174
    57.760	   0.00046	   0.00032	   0.00002	   0.00174
    58.660	   0.00046	   0.00032	   0.00002	   0.00174
    58.700	   0.00046	   0.00032	   0.00002	   0.00174
    59.360	   0.00046	   0.00032	   0.00002	   0.00174
    59.420	   0.00046	   0.00032	   0.00002	   0.00174
    59.760	   0.00046	   0.00032	   0.00002	   0.00174
    59.840	   0.00046	   0.00032	   0.00002	   0.00174
    60.360	   0.00046	   0.00032	   0.00002	   0.00174
    60.620	   0.00046	   0.00032	   0.00002	   0.00174
    60.740	   0.00046	   0.00032	   0.00002	   0.00174
    60.900	   0.00046	   0.00032	   0.00002	   0.00174
    61.420	   0.00046	   0.00032	   0.00002	   0.00174
    61.500	   0.00046	   0.00032	   0.00002	   0.00174
    62.680	   0.00046	   0.00032	   0.00002	   0.00174
    63.640	   0.00046	   0.00032	   0.00002	   0.00174
    64.260	   0.00046	   0.00032	   0.00002	   0.00174
    64.620	   0.00046	   0.00032	   0.00002	   0.00174
    64.880	   0.00046	   0.00032	   0.00002	   0.00174
    65.020	   0.00046	   0.00032	   0.00002	   0.00174
    65.960	   0.00046	   0.00032	   0.00002	   0.00174
    66.420	   0.00046	   0.00032	   0.00002	   0.00174
    66.740	   0.00046	   0.00032	   0.00002	   0.00174
    67.420	   0.00046	   0.00032	   0.00002	   0.00174
    67.500	   0.00046	   0.00032	   0.00002	   0.00174
    67.660	   0.00046	   0.00032	   0.00002	   0.00174
    67.780	   0.00046	   0.00032	   0.00002	   0.00174
    68.800	   0.00046	   0.00032	   0.00002	   0.00174
    69.140	   0.00046	   0.00032	   0.00002	   0.00174
    69.160	   0.00046	   0.00032	   0.00002	   0.00174
    70.060	   0.00046	   0.00032	   0.00002	   0.00174
    70.200	   0.00046	   0.00032	   0.00002	   0.00174
    70.320	   0.00046	   0.00032	   0.00002	   0.00174
    70.400	   0.00046	   0.00032	   0.00002	   0.00174
    70.660	   0.00046	   0.00032	   0.00002	   0.00174
    71.460	   0.00046	   0.00032	   0.00002	   0.00174
    72.020	   0.00046	   0.00032	   0.00002	   0.00174
    72.580	   0.00046	   0.00032	   0.00002	   0.00174
    72.800	   0.00046	   0.00032	   0.00002	   0.00174
    73.020	   0.00046	   0.00032	   0.00002	   0.00174
    73.200	   0.00046	   0.00032	   0.00002	   0.00174
    73.400	   0.00046	   0.00032	   0.00002	   0.00174
    74.680	   0.00046	   0.00032	   0.00002	   0.00174
    75.300	   0.00046	   0.00032	   0.00002	   0.00174
    75.420	   0.00046	   0.00032	   0.00002	   0.00174
    75.560	   0.00046	   0.00032	   0.00002	   0.00174
    76.740	   0.00046	   0.00032	   0.00002	   0.00174
    77.060	   0.00046	   0.00032	   0.00002	   0.00174
    77.080	   0.00046	   0.00032	   0.00002	   0.00174
    77.360	   0.00046	   0.00032	   0.00002	   0.00174
    77.520	   0.00046	   0.00032	   0.00002	   0.00174
    77.540	   0.00046	   0.00032	   0.00002	   0.00174
    77.660	   0.00046	   0.00032	   0.00002	   0.00174
    78.660	   0.00046	   0.00032	   0.00002	   0.00174
    78.820	   0.00046	   0.00032	   0.00002	   0.00174
    79.560	   0.00046	   0.00032	   0.00002	   0.00174
    79.640	   0.00046	   0.00032	   0.00002	   0.00174
    79.740	   0.00046	   0.00032	   0.00002	   0.00174
    80.720	   0.00046	   0.00032	   0.00002	   0.00174
    81.500	   0.00046	   0.00032	   0.00002	   0.00174
    81.720	   0.00046	   0.00032	   0.00002	   0.00174
    82.080	   0.00046	   0.00032	   0.00002	   0.00174
    83.300	   0.00046	   0.00032	   0.00002	   0.00174
    84.300	   0.00046	   0.00032	   0.00002	   0.00174
    84.560	   0.00046	   0.00032	   0.00002	   0.00174
    85.140	   0.00046	   0.00032	   0.00002	   0.00174
    85.220	   0.00046	   0.00032	   0.00002	   0.00174
    85.320	   0.00046	   0.00032	   0.00002	   0.00174
    85.820	   0.00046	   0.00032	   0.00002	   0.00174
    85.980	   0.00047	   0.00032	   0.00002	   0.00176
    86.720	   0.00047	   0.00032	   0.00002	   0.00176
    86.940	   0.00047	   0.00032	   0.00002	   0.00176
    87.800	   0.00047	   0.00032	   0.00002	   0.00176
    88.000	   0.00047	   0.00032	   0.00002	   0.00176
    88.040	   0.00047	   0.00032	   0.00002	   0.00176
    88.240	   0.00047	   0.00032	   0.00002	   0.00176
    88.500	   0.00047	   0.00032	   0.00002	   0.00176
    88.580	   0.00047	   0.00032	   0.00002	   0.00176
    89.020	   0.00047	   0.00032	   0.00002	   0.00176
    89.440	   0.00047	   0.00032	   0.00002	   0.00176
    89.820	   0.00047	   0.00032	   0.00002	   0.00176
    90.200	   0.00047	   0.00032	   0.00002	   0.00176
    90.820	   0.00047	   0.00032	   0.00002	   0.00176
    92.980	   0.00047	   0.00032	   0.00002	   0.00176
    93.040	   0.00054	   0.00032	   0.00002	   0.00176
    93.220	   0.00068	   0.00032	   0.00002	   0.00177
    94.020	   0.00068	   0.00032	   0.00002	   0.00177
    94.820	   0.00114	   0.00032	   0.00002	   0.00182
    95.240	   0.00304	   0.00033	   0.00002	   0.00203
    95.460	   0.00648	   0.00033	   0.00002	   0.00446
    95.580	   0.00903	   0.00033	   0.00002	   0.19645
    95.700	   0.01077	   0.00034	   0.00002	   0.24459
    95.860	   0.01499	   0.00034	   0.00002	   0.27142
    96.820	   0.01983	   0.00034	   0.00002	   0.28612
    96.860	   0.02498	   0.00035	   0.00002	   0.30031
    97.600	   0.01702	   0.00035	   0.00002	   0.27881
    97.760	   0.01850	   0.00035	   0.00002	   0.28501
    98.100	   0.02919	   0.00036	   0.00002	   0.33030
    98.280	   0.05305	   0.00037	   0.00002	   0.62565
    98.600	   1.34077	   0.00182	   0.00003	   3.88719
    98.620	   3.23388	   3.48192	   0.23847	   4.41476
    98.900	   0.22677	   0.15358	   0.00441	   0.90908
    99.500	   0.22794	   0.15409	   0.00441	   0.91052
    99.560	   0.22925	   0.15540	   0.00441	   0.91967
